"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2016","4,536.07","4,452.72","4,555.11","4,439.91","455.10M","1.46%"
"10/09/2016","4,470.92","4,458.07","4,520.18","4,370.65","499.20M","0.47%"
"10/02/2016","4,449.91","4,447.54","4,521.36","4,432.77","487.02M","0.04%"
"09/25/2016","4,448.26","4,455.59","4,505.30","4,342.64","474.20M","-0.90%"
"09/18/2016","4,488.69","4,368.85","4,528.89","4,368.85","446.96M","3.61%"
"09/11/2016","4,332.45","4,415.23","4,470.26","4,310.88","626.65M","-3.54%"
"09/04/2016","4,491.40","4,550.82","4,569.62","4,481.09","418.12M","-1.12%"
"08/28/2016","4,542.17","4,421.46","4,548.04","4,390.04","463.87M","2.26%"
"08/21/2016","4,441.87","4,397.39","4,455.61","4,377.70","346.54M","0.94%"
"08/14/2016","4,400.52","4,503.65","4,528.00","4,373.75","332.32M","-2.21%"
"08/07/2016","4,500.19","4,419.02","4,510.06","4,407.32","357.02M","2.03%"
"07/31/2016","4,410.55","4,469.99","4,477.44","4,293.34","484.72M","-0.66%"
"07/24/2016","4,439.81","4,381.63","4,474.67","4,353.62","519.48M","1.34%"
"07/17/2016","4,381.10","4,375.09","4,408.13","4,304.20","412.88M","0.20%"
"07/10/2016","4,372.51","4,221.22","4,402.23","4,207.37","533.80M","4.34%"
"07/03/2016","4,190.68","4,288.50","4,288.66","4,062.07","551.65M","-1.95%"
"06/26/2016","4,273.96","4,073.72","4,288.72","3,955.98","848.91M","4.07%"
"06/19/2016","4,106.73","4,301.19","4,490.55","4,007.97","873.01M","-2.08%"
"06/12/2016","4,193.83","4,253.98","4,275.97","4,109.82","710.06M","-2.62%"
"06/05/2016","4,306.72","4,407.01","4,486.47","4,301.10","490.24M","-2.60%"
"05/29/2016","4,421.78","4,507.09","4,536.63","4,396.63","470.33M","-2.06%"
"05/22/2016","4,514.74","4,344.89","4,518.22","4,300.18","494.66M","3.69%"
"05/15/2016","4,353.90","4,290.65","4,362.33","4,267.71","462.44M","0.78%"
"05/08/2016","4,319.99","4,322.69","4,374.75","4,253.13","528.41M","0.44%"
"05/01/2016","4,301.24","4,455.76","4,458.74","4,245.17","491.56M","-2.88%"
"04/24/2016","4,428.96","4,561.92","4,579.12","4,428.59","550.95M","-3.08%"
"04/17/2016","4,569.66","4,425.25","4,607.69","4,424.76","565.40M","1.66%"
"04/10/2016","4,495.17","4,294.12","4,515.00","4,263.08","633.87M","4.46%"
"04/03/2016","4,303.12","4,311.19","4,378.05","4,229.12","559.42M","-0.44%"
"03/27/2016","4,322.24","4,354.03","4,466.50","4,261.25","445.01M","-0.17%"
"03/20/2016","4,329.68","4,425.84","4,481.11","4,323.18","424.21M","-2.98%"
"03/13/2016","4,462.51","4,501.81","4,535.91","4,367.44","777.97M","-0.67%"
"03/06/2016","4,492.79","4,436.37","4,580.97","4,350.35","692.35M","0.81%"
"02/28/2016","4,456.62","4,275.84","4,480.21","4,254.77","634.74M","3.29%"
"02/21/2016","4,314.57","4,260.62","4,352.39","4,117.49","598.04M","2.17%"
"02/14/2016","4,223.04","4,086.29","4,279.19","4,076.81","668.56M","5.71%"
"02/07/2016","3,995.06","4,217.45","4,220.85","3,892.46","876.67M","-4.89%"
"01/31/2016","4,200.67","4,418.14","4,422.61","4,176.48","748.28M","-4.90%"
"01/24/2016","4,417.02","4,365.15","4,417.02","4,224.45","675.51M","1.85%"
"01/17/2016","4,336.69","4,211.11","4,371.65","4,084.68","755.99M","3.01%"
"01/10/2016","4,210.16","4,333.21","4,465.56","4,178.87","705.77M","-2.85%"
"01/03/2016","4,333.76","4,582.05","4,586.11","4,323.55","620.20M","-6.54%"
"12/27/2015","4,637.06","4,667.03","4,708.32","4,613.78","189.38M","-0.56%"
"12/20/2015","4,663.18","4,617.20","4,686.09","4,526.86","327.36M","0.82%"
"12/13/2015","4,625.26","4,572.37","4,748.76","4,472.65","848.76M","1.66%"
"12/06/2015","4,549.56","4,746.26","4,803.48","4,527.26","733.95M","-3.50%"
"11/29/2015","4,714.79","4,917.15","4,975.71","4,670.99","761.32M","-4.37%"
"11/22/2015","4,930.14","4,901.68","4,961.45","4,773.98","510.10M","0.39%"
"11/15/2015","4,910.97","4,756.92","4,962.45","4,751.03","560.45M","2.14%"
"11/08/2015","4,807.95","4,978.84","4,983.77","4,762.33","584.37M","-3.54%"
"11/01/2015","4,984.15","4,848.86","5,011.65","4,845.12","703.45M","1.77%"
"10/25/2015","4,897.66","4,908.33","4,924.24","4,841.39","644.20M","-0.53%"
"10/18/2015","4,923.64","4,697.52","4,947.02","4,642.94","619.99M","4.70%"
"10/11/2015","4,702.79","4,705.22","4,718.91","4,580.84","562.38M","0.03%"
